moduleCode,title,description,prereqCourseCodes,extracted_skills,extracted_apps_tools,done
ACC1701,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701A,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701B,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701C,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701D,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701X,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701XA,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701XB,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701XC,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701XD,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
ACC1701XE,Accounting for Decision Makers,"The course provides an introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. The focus is on how accounting can help investors make better decisions. Book-keeping and preparation of financial statements are also covered at an introductory level, as investors need to be aware of how the financial statements are derived.",,Financial Statements Review | Financial Reporting,,error: Section 'extracted_apps_and_tools' not found in downloaded CSV.
